時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-04T02:00:00,1,56,1.79%,13.7
2026-09-04T03:00:00,1,27,3.7%,7.6
2026-09-04T04:00:00,1,47,2.13%,13.2
2026-09-04T05:00:00,0,26,0%,7
2026-09-04T06:00:00,0,23,0%,8.7
2026-09-04T07:00:00,0,36,0%,8
2026-09-04T08:00:00,0,63,0%,9
2026-09-04T09:00:00,4,90,4.44%,5.1
2026-09-04T10:00:00,1,99,1.01%,7.2
2026-09-04T11:00:00,5,91,5.49%,5.8
2026-09-04T12:00:00,1,106,0.94%,6.8
2026-09-04T13:00:00,1,95,1.05%,8.6
2026-09-04T14:00:00,3,117,2.56%,5.9
2026-09-04T15:00:00,2,99,2.02%,6.4
2026-09-04T16:00:00,3,109,2.75%,7.5
2026-09-04T17:00:00,2,133,1.5%,7.4
2026-09-04T18:00:00,3,106,2.83%,6.5
2026-09-04T19:00:00,3,85,3.53%,6.9
2026-09-04T20:00:00,6,111,5.41%,6.5
2026-09-04T21:00:00,3,110,2.73%,6.9
2026-09-04T22:00:00,3,101,2.97%,6.7
2026-09-04T23:00:00,5,100,5%,6.3
2026-09-05T00:00:00,0,22,0%,5.4
2026-09-05T01:00:00,0,0,0%,0
