上位のページ,クリック数,表示回数,CTR,掲載順位
https://kabuexlabs.com/guide/immersive-tokyo/,9,108,8.33%,6.35
https://kabuexlabs.com/,6,35,17.14%,7.31
https://kabuexlabs.com/uwasabanashi/,4,14,28.57%,2.29
https://kabuexlabs.com/toudaimurder/,4,10,40%,5.9
https://kabuexlabs.com/hacktale/works/werewolf-theorem/,3,6,50%,3.17
https://kabuexlabs.com/guide/botsunyukan/,2,493,0.41%,5.27
https://kabuexlabs.com/anator/,2,2,100%,1
https://kabuexlabs.com/guide/saiji/,1,208,0.48%,7.63
https://kabuexlabs.com/guide/madamis/,1,96,1.04%,9.55
https://kabuexlabs.com/guide/zunousen-sakuhin/,1,27,3.7%,11.04
https://kabuexlabs.com/guide/halloween-event/,1,21,4.76%,7.29
https://kabuexlabs.com/taikenbizyutu/,1,16,6.25%,5.62
https://kabuexlabs.com/kaitou/,1,15,6.67%,3.93
https://kabuexlabs.com/company/,1,13,7.69%,2.62
https://kabuexlabs.com/toudaimurder/works/arumadamisu2/,1,13,7.69%,5.62
https://kabuexlabs.com/guide/zunousen-game/,1,9,11.11%,6.11
https://kabuexlabs.com/toudaimurder/works/frankenstein/,1,8,12.5%,2
https://kabuexlabs.com/guide/immersive/,0,299,0%,5.28
https://kabuexlabs.com/guide/shinrisen/,0,82,0%,4.52
https://kabuexlabs.com/guide/zunousen/,0,65,0%,6.11
https://kabuexlabs.com/guide/immersive-theater/,0,57,0%,8.26
https://kabuexlabs.com/guide/popup-event/,0,53,0%,9.68
https://kabuexlabs.com/guide/shuyu-event/,0,52,0%,5.73
https://kabuexlabs.com/guide/madamis-tokyo/,0,18,0%,8.17
https://kabuexlabs.com/guide/shinrisen-game/,0,17,0%,6.35
https://kabuexlabs.com/guide/madamis-rekishi/,0,16,0%,5.56
https://kabuexlabs.com/blog/v1czofdqf/,0,16,0%,8.81
https://kabuexlabs.com/guide/taikengata-idea/,0,16,0%,25.31
https://kabuexlabs.com/guide/ip-event/,0,15,0%,5.67
https://kabuexlabs.com/toudaimurder/works/,0,15,0%,6.73
https://kabuexlabs.com/guide/madamis-shoshinsha/,0,13,0%,8.15
https://kabuexlabs.com/guide/immersive-taiken/,0,13,0%,8.38
https://kabuexlabs.com/blog/d15in02dr/,0,12,0%,6.5
