サイト,リンクしているページ,ターゲット ページ
nazohiroba.com,148,1
x.com,28,7
mdms.jp,7,1
nicovideo.jp,5,2
prtimes.jp,5,2
escape.id,4,2
genicpress.com,4,2
infoseek.co.jp,4,2
jiji.com,4,2
mapion.co.jp,4,2
pia.co.jp,4,2
sankei.com,4,2
cinemacafe.net,3,2
entamerush.jp,3,2
initial.inc,3,1
iza.ne.jp,3,2
note.com,3,2
traicy.com,3,2
yahoo.co.jp,3,1
excite.co.jp,2,1
rbbtoday.com,2,2
startuplog.com,2,1
zaikei.co.jp,2,2
30min.jp,1,1
404shibuya.tokyo,1,1
ampinfo.net,1,1
dealroom.co,1,1
denfaminicogamer.jp,1,1
docomo.ne.jp,1,1
geijutsuseikatsu.com,1,1
getnews.jp,1,1
iromame-beans.jp,1,1
koubo.jp,1,1
livedoor.com,1,1
mainichikirei.jp,1,1
mantan-web.jp,1,1
mezamashi.media,1,1
michill.jp,1,1
pitchbook.com,1,1
seotools.jp,1,1
skyland.vc,1,1
startup-db.com,1,1
straightpress.jp,1,1
yorozuyagakudan.com,1,1
zero-press.net,1,1
